;1;19-9-2009;15:40;FTVŠ;Engerau 1997;:;4Fun "A";1;:;5;
;2;26-9-2009;14:00;FTVŠ;4Fun "A";:;TRE Kronor FT;2;:;3;
;3;3-10-2009;8:00;ŠH Mladosť;FC Pohotovosť Hujeri "B";:;4Fun "A";4;:;5;
;4;11-10-2009;10:40;PKO;4Fun "A";:;Matadors;4;:;0;
;5;18-10-2009;13:00;FTVŠ;ELZA Lions;:;4Fun "A";3;:;2;
;6;25-10-2009;10:40;FTVŠ;4Fun "A";:;KPSF '92;1;:;3;
;7;8-11-2009;12:00;FTVŠ;Karlovka 1983;:;4Fun "A";2;:;2;
;8;15-11-2009;12:30;PKO;4Fun "A";:;"S.L.C Olympique "B"";2;:;5;
;9;21-11-2009;13:10;ŠH Mladosť;FK Šport A;:;4Fun "A";3;:;8;
;10;28-11-2009;13:20;FTVŠ;4Fun "A";:;Dopravoprojekt;5;:;1;
;11;6-12-2009;10:40;ŠH Mladosť;Mokarabia;:;4Fun "A";4;:;2;
;12;12-12-2009;14:20;FTVŠ;Bandog Club;:;4Fun "A";1;:;2;
;13;17-1-2010;12:20;PKO;4Fun "A";:;Gebruder Weiss;5;:;1;
;14;23-1-2010;8:00;ŠH Mladosť;Ex Rapid;:;4Fun "A";3;:;8;
;15;31-1-2010;8:00;PKO;4Fun "A";:;"AK 47 "B"";5;:;4;
;16;7-2-2010;9:50;ŠH Mladosť;AFK Staré mesto;:;4Fun "A";0;:;2;
;17;27-2-2010;12:10;FTVŠ;4Fun "A";:;FC Emitrikve;1;:;3;
;18;21-2-2010;20:10;ŠH Mladosť;AK Vorvane;:;4Fun "A";1;:;5;
;19;28-2-2010;9:00;PKO;4Fun "A";:;MO Slovakia;5;:;2;
;20;13-3-2010;10:40;FTVŠ;4Fun "A";:;Ex Rapid;9;:;2;
;21;21-3-2010;8:00;ŠH Mladosť;FC Pohotovosť Hujeri B;:;4Fun "A";3;:;5;
;22;27-3-2010;11:40;FTVŠ;4Fun "A";:;KPSF '92;2;:;0;
;23;11-4-2010;11:20;FTVŠ;4Fun "A";:;Karlovka 1983;5;:;0;
;24;18-4-2010;12:10;ŠH Mladosť;"AK 47 "B"";:;4Fun "A";1;:;1;
;25;25-4-2010;12:20;ŠH Mladosť;4Fun "A";:;FC Emitrikve;1;:;6;
;26;2-5-2010;14:10;FTVŠ;"S.L.C Olympique "B"";:;4Fun "A";5;:;1;
;27;8-5-2010;9:00;PKO;4Fun "A";:;Matadors;9;:;3;
;28;23-5-2010;8:00;PKO;ELZA Lions;:;4Fun "A";7;:;5;
