;1;19-9-2010;18:20;ŠH Mladosť;Maxima;:;4Fun "A";13;:;8;(7:3);;;;;;;;;;;
;2;26-9-2010;11:40;ŠH Mladosť;Čekan Mekenroff 1987 "A";:;4Fun "A";6;:;2;(3:2);;;;;;;;;;;
;3;2-10-2010;20:00;ŠH Mladosť;4Fun "A";:;FCK Minimax "A";3;:;6;(0:3);;;;;;;;;;;
;4;10-10-2010;10:40;ŠH Mladosť;Semic Plat4m;:;4Fun "A";9;:;4;(4:2);;;;;;;;;;;
;5;17-10-2010;11:05;ŠH Mladosť;4Fun "A";:;AK 47 "A";0;:;2;(0:1);;;;;;;;;;;
;6;23-10-2010;8:00;FTVŠ;KPP Barabéri;:;4Fun "A";7;:;2;(2:1);;;;;;;;;;;
;7;7-11-2010;15:00;ŠH Mladosť;4Fun "A";:;Slovmatic FOFO "B";4;:;18;(1:8);;;;;;;;;;;
;8;13-11-2010;18:00;ŠH Mladosť;Wild Boys '02;:;4Fun "A";5;:;5;(1:3);;;;;;;;;;;
;9;3-12-2010;20:20;ŠH Mladosť;TV Com Hurricanes;:;4Fun "A";2;:;5;(1:0);;;;;;;;;;;
;10;5-12-2010;18:20;ŠH Mladosť;4Fun "A";:;4FSC Bratislava;6;:;5;(1:2);;;;;;;;;;;
;11;17-12-2010;20:50;FTVŠ;4Fun "A";:;AFC Horden;5;:;2;(3:1);;;;;;;;;;;
;12;15-1-2011;19:00;ŠH Mladosť;Across Pinerola BA "B";:;4Fun "A";6;:;7;(5:3);;;;;;;;;;;
;13;22-1-2011;11:30;ŠH Mladosť;4Fun "A";:;FC Emtrikve;5;:;3;(3:2);;;;;;;;;;;
;14;4-2-2011;20:10;FTVŠ;ŠK Danubit;:;4Fun "A";5;:;6;(4:3);;;;;;;;;;;
;15;12-2-2011;17:30;FTVŠ;4Fun "A";:;Gurmáni;7;:;3;(2:0);;;;;;;;;;;
;16;20-2-2011;12:20;ŠH Mladosť;Relax;:;4Fun "A";4;:;4;(4:3);;;;;;;;;;;
;17;26-2-2011;9:00;FTVŠ;4Fun "A";:;L.M.H. Team;16;:;6;(8:2);;;;;;;;;;;
;18;11-3-2011;20:10;FTVŠ;S.L.C. Olympique "A";:;4Fun "A";7;:;4;(2:1);;;;;;;;;;;
;19;3-4-2011;15:15;ŠH Mladosť;S.L.C. Olympique "A";:;4Fun "A";0;:;8;(0:5);;;;;;;;;;;
;20;8-4-2011;18:10;ŠH Mladosť;4Fun "A";:;Slovmatic FOFO "B";2;:;14;(1:4);;;;;;;;;;;
;21;16-4-2011;11:45;FTVŠ;Semic Plat4M;:;4Fun "A";5;:;8;(1:5);;;;;;;;;;;
;22;30-4-2011;10:30;FTVŠ;AK 47 "A";:;4Fun "A";2;:;9;(1:6);;;;;;;;;;;
;23;7-5-2011;18:15;ŠH Mladosť;4Fun "A";:;Across Pinerola BA "B";9;:;5;(6:2);;;;;;;;;;;
;24;14-5-2011;10:20;ŠH Mladosť;FCK Minimax "A";:;4Fun "A";5;:;4;(4:1);;;;;;;;;;;
;25;28-5-2011;9:15;ŠH Mladosť;KPP Barabéri;:;4Fun "A";2;:;2;(1:0);;;;;;;;;;;
;26;29-5-2011;9:00;ŠH Mladosť;4Fun "A";:;Gurmáni;4;:;10;(3:6);;;;;;;;;;;
;27;3-6-2011;20:30;ŠH Mladosť;4Fun "A";:;Čekan Mekenroff 1987 "A";2;:;3;(0:1);;;;;;;;;;;
