;1;23-9-2012;18:45;ŠH Mladosť;"Maxima "A"";:;4Fun "A";2;:;6;;;;;;;;;;;;;;;;;
;2;29-9-2012;8:00;ŠH Mladosť;4Fun "A";:;"FPV 23 "A"";7;:;3;(4:0);;;;;;;;;;;;;;;;
;3;6-10-2012;10:40;FTVŠ;TV Com Hurricanes;:;4Fun "A";4;:;9;;;;;;;;;;;;;;;;;
;4;10-11-2012;20:10;ŠH Mladosť;Katenáčo Dúbravka;:;4Fun "A";2;:;4;;;;;;;;;;;;;;;;;
;5;18-11-2012;9:10;ŠH Mladosť;4Fun "A";:;Wild Boys '02;3;:;4;;;;;;;;;;;;;;;;;
;6;25-11-2012;9:10;ŠH Mladosť;ŠK Danubit;:;4Fun "A";3;:;0;;;;;;;;;;;;;;;;;
;7;30-11-2012;20:50;ŠH Mladosť;4Fun "A";:;"FCK Minimax "A"";4;:;8;;;;;;;;;;;;;;;;;
;8;2-12-2012;12:10;ŠH Mladosť;4Fun "A";:;Semic Bratislava;1;:;2;;;;;;;;;;;;;;;;;
;9;9-12-2012;19:10;ŠH Mladosť;4FSC Bratislava;:;4Fun "A";4;:;6;;;;;;;;;;;;;;;;;
;10;11-12-2012;19:50;ŠH Mladosť;4Fun "A";:;"Slov-Matic FOFO "B"";2;:;10;;;;;;;;;;;;;;;;;
;11;16-12-2012;8:00;FTVŠ;4Fun "A";:;"Across Pinerola "B"";5;:;5;;;;;;;;;;;;;;;;;
;12;13-1-2013;14:50;ŠH Mladosť;Gurmáni;:;4Fun "A";11;:;4;;;;;;;;;;;;;;;;;
;13;19-1-2013;8:10;ŠH Mladosť;"AK 47 "A"";:;4Fun "A";5;:;2;;;;;;;;;;;;;;;;;
;14;27-1-2013;14:30;ŠH Mladosť;FT Karlova Ves;:;4Fun "A";5;:;4;;;;;;;;;;;;;;;;;
;15;3-2-2013;12:30;ŠH Mladosť;4Fun "A";:;Kappa team;2;:;3;;;;;;;;;;;;;;;;;
;16;10-2-2013;9:00;ŠH Mladosť;"Krátky proces "A"";:;4Fun "A";5;:;3;;;;;;;;;;;;;;;;;
;17;20-2-2013;18:30;ŠH Mladosť;4Fun "A";:;KPP Barabéri;2;:;9;;;;;;;;;;;;;;;;;
;18;24-2-2013;9:00;ŠH Mladosť;"Čekan Mekenroff "B"";:;4Fun "A";2;:;4;;;;;;;;;;;;;;;;;
;19;3-3-2013;13:50;ŠH Mladosť;4Fun "A";:;Relax;4;:;6;;;;;;;;;;;;;;;;;
;20;10-3-2013;13:10;ŠH Mladosť;Matadors;:;4Fun "A";10;:;5;;;;;;;;;;;;;;;;;
;21;17-3-2013;8:00;ŠH Mladosť;4Fun "A";:;AFC Horden;5;:;2;;;;;;;;;;;;;;;;;
;22;7-4-2013;8:00;FTVŠ;4Fun "A";:;Matadors;8;:;5;;;;;;;;;;;;;;;;;
